,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
67,29.03.2018 ,13.04.2018 ,"R$ 150,38 ","0,58% ","R$ 0,87 "
68,28.02.2018 ,14.03.2018 ,"R$ 138,00 ","0,63% ","R$ 0,87 "
69,31.01.2018 ,16.02.2018 ,"R$ 131,40 ","0,66% ","R$ 0,87 "
70,28.12.2017 ,15.01.2018 ,"R$ 134,30 ","0,65% ","R$ 0,87 "
71,30.11.2017 ,14.12.2017 ,"R$ 132,30 ","0,66% ","R$ 0,87 "
72,31.10.2017 ,16.11.2017 ,"R$ 128,30 ","0,68% ","R$ 0,87 "
73,29.09.2017 ,16.10.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
74,31.08.2017 ,15.09.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
75,31.07.2017 ,14.08.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
76,30.06.2017 ,14.07.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
77,31.05.2017 ,14.06.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
78,28.04.2017 ,15.05.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
79,31.03.2017 ,17.04.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
80,24.02.2017 ,14.03.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
81,31.01.2017 ,14.02.2017 ,"R$ 0,00 ","0,00% ","R$ 0,87 "
