,Data Base,Data Pagamento,Cotação Base,Dividend Yield,Rendimento
67,15.03.2018 ,23.03.2018 ,"R$ 72,20 ","0,46% ","R$ 0,33 "
68,15.02.2018 ,23.02.2018 ,"R$ 79,50 ","0,42% ","R$ 0,34 "
69,15.01.2018 ,24.01.2018 ,"R$ 79,78 ","0,42% ","R$ 0,34 "
70,15.12.2017 ,22.12.2017 ,"R$ 76,15 ","0,46% ","R$ 0,35 "
71,16.11.2017 ,24.11.2017 ,"R$ 76,00 ","0,42% ","R$ 0,32 "
72,16.10.2017 ,25.10.2017 ,"R$ 76,25 ","0,44% ","R$ 0,34 "
73,15.09.2017 ,25.09.2017 ,"R$ 0,00 ","0,00% ","R$ 0,34 "
74,15.08.2017 ,25.08.2017 ,"R$ 0,00 ","0,00% ","R$ 0,36 "
75,17.07.2017 ,25.07.2017 ,"R$ 0,00 ","0,00% ","R$ 0,36 "
76,16.06.2017 ,23.06.2017 ,"R$ 0,00 ","0,00% ","R$ 0,24 "
77,15.05.2017 ,25.05.2017 ,"R$ 0,00 ","0,00% ","R$ 0,27 "
78,17.04.2017 ,25.04.2017 ,"R$ 0,00 ","0,00% ","R$ 0,24 "
79,15.03.2017 ,24.03.2017 ,"R$ 0,00 ","0,00% ","R$ 0,27 "
80,15.02.2017 ,24.02.2017 ,"R$ 0,00 ","0,00% ","R$ 0,30 "
81,16.01.2017 ,24.01.2017 ,"R$ 0,00 ","0,00% ","R$ 0,53 "
